Rank,Log_Frequency,Word,Kana
114,6.734175402124937,自分,じぶん
122,6.6619186771202505,問題,もんだい
140,6.506874646090078,考え,かんがえ
163,6.3113172991402235,時間,じかん
167,6.268660582741774,場合,ばあい
170,6.232349779898349,情報,じょうほう
195,6.04791576650043,感じ,かんじ
203,6.013666255091668,関係,かんけい
205,6.001934544891097,委員,いいん
211,5.964863865310803,世界,せかい
220,5.927832281863126,社会,しゃかい
226,5.886437309240276,仕事,しごと
229,5.870454435037131,記事,きじ
244,5.773774846476236,意味,いみ
250,5.749361138267365,会社,かいしゃ
258,5.720410132426057,人間,じんかん
262,5.70168026656433,多く,おおく
266,5.679284843055801,企業,きぎょう
271,5.65829684449507,可能,かのう
273,5.642864059686784,投稿,とうこう
279,5.622355475960472,今回,こんかい
289,5.566357798744529,多い,おおい
291,5.559488611958904,経済,けいざい
297,5.541263545158426,最近,さいきん
298,5.541145891178645,結果,けっか
304,5.519418834228022,先生,シーサン
305,5.514476584087802,生活,せいかつ
309,5.496594290132119,時代,じだい
310,5.496061055229515,政府,せいふ
311,5.49482942686133,非常,ひじょう
324,5.4469097705978635,説明,せつめい
329,5.423098083445343,教育,きょういく
332,5.416722430926658,方法,ほうほう
337,5.3969855383447385,利用,りよう
341,5.37934420519041,紹介,しょうかい
342,5.3739812704690255,技術,ぎじゅつ
346,5.356256031468482,参加,さんか
348,5.3472027642778475,大きな,おおきな
355,5.318316053054725,好き,ずき
357,5.308416201225452,活動,かつどう
365,5.275509227222028,管理,かんり
366,5.27499756122642,特に,とくに
371,5.263208189434469,地域,ちいき
375,5.259992252226368,実際,じっさい
381,5.2513305753237,個人,こじん
382,5.2494421987659,意見,いけん
387,5.238832719713145,存在,そんざい
388,5.237080057076847,最後,さいご
393,5.231536332857686,彼女,かのじょ
394,5.231269031794909,理解,りかい
396,5.228806503783908,部分,ぶぶん
400,5.220734131889657,電話,でんわ
407,5.211887638549649,日記,にっき
410,5.207352731173943,制度,せいど
411,5.20411657114921,使用,しよう
416,5.191900737843546,固定,こてい
417,5.190954848219537,調査,ちょうさ
418,5.189283445523901,基本,きほん
421,5.185932235953246,一般,いっぱん
429,5.1662705856277045,作品,さくひん
431,5.1648431151480665,重要,じゅうよう
433,5.158940350079394,出来,でき
435,5.14842427697342,最初,さいしょ
438,5.143299644281428,国民,こくみん
449,5.115715770546764,事件,じけん
450,5.114574800598636,英語,えいご
452,5.112228723184838,質問,しつもん
460,5.085247900805301,主義,しゅぎ
468,5.07617331556691,入れ,いれ
475,5.064112867874402,場所,ばしょ
476,5.063923264460973,機能,きのう
484,5.054014017398201,相手,あいて
486,5.049343055199306,自身,じしん
