Rank,Word,Kana,Log Frequency
111,思い,おもい,6.756281014358287
114,自分,じぶん,6.734175402124937
122,問題,もんだい,6.6619186771202505
140,考え,かんがえ,6.506874646090079
151,思う,おもう,6.4045340020760815
163,時間,じかん,6.3113172991402235
167,場合,ばあい,6.268660582741774
168,必要,ひつよう,6.245176099988609
170,情報,じょうほう,6.232349779898349
195,感じ,かんじ,6.04791576650043
203,関係,かんけい,6.013666255091668
205,委員,いいん,6.001934544891096
211,世界,せかい,5.964863865310803
220,社会,しゃかい,5.927832281863126
226,仕事,しごと,5.886437309240276
229,記事,きじ,5.870454435037131
244,意味,いみ,5.773774846476236
247,以上,いじょう,5.765191102784844
250,会社,かいしゃ,5.749361138267365
262,多く,おおく,5.701680266564331
264,現在,げんざい,5.699205348913088
266,企業,きぎょう,5.679284843055801
271,可能,かのう,5.658296844495069
272,研究,けんきゅう,5.652980287725815
273,投稿,とうこう,5.642864059686784
279,今回,こんかい,5.622355475960472
289,多い,おおい,5.566357798744529
291,経済,けいざい,5.559488611958904
297,最近,さいきん,5.541263545158426
298,結果,けっか,5.541145891178645
302,映画,えいが,5.522260598032811
305,生活,せいかつ,5.514476584087801
309,時代,じだい,5.496594290132118
310,政府,せいふ,5.496061055229514
311,非常,ひじょう,5.494829426861329
318,内容,ないよう,5.467553683793335
320,一つ,ひとつ,5.46247495271432
323,見る,みる,5.4521965809604644
324,説明,せつめい,5.4469097705978635
326,写真,しゃしん,5.435815879733671
329,教育,きょういく,5.423098083445343
331,子供,こども,5.421905740792655
332,方法,ほうほう,5.416722430926658
333,に対して,にたいして,5.412895271255472
337,利用,りよう,5.396985538344738
340,少し,すこし,5.3845868017002125
341,紹介,しょうかい,5.37934420519041
342,技術,ぎじゅつ,5.373981270469026
345,名前,なまえ,5.3568220959206
346,参加,さんか,5.356256031468483
348,大きな,おおきな,5.3472027642778475
357,活動,かつどう,5.308416201225451
362,状況,じょうきょう,5.295162394854736
364,に対する,にたいする,5.283406753812282
365,管理,かんり,5.275509227222028
366,特に,とくに,5.27499756122642
367,環境,かんきょう,5.27346099054917
371,地域,ちいき,5.263208189434469
375,実際,じっさい,5.259992252226369
381,個人,こじん,5.2513305753237
382,意見,いけん,5.2494421987659
383,状態,じょうたい,5.2457074162757396
385,大学,だいがく,5.243966771797955
387,存在,そんざい,5.238832719713145
388,最後,さいご,5.237080057076847
393,彼女,かのじょ,5.231536332857686
394,理解,りかい,5.231269031794909
395,学校,がっこう,5.230787709754438
396,部分,ぶぶん,5.2288065037839075
400,電話,でんわ,5.220734131889657
401,考える,かんがえる,5.217432637807573
407,日記,にっき,5.211887638549649
410,制度,せいど,5.207352731173943
411,使用,しよう,5.20411657114921
416,固定,こてい,5.191900737843547
417,調査,ちょうさ,5.190954848219537
418,基本,きほん,5.189283445523902
420,関連,かんれん,5.18604412406525
421,一般,いっぱん,5.185932235953246
423,新しい,あたらしい,5.178857926510709
426,音楽,おんがく,5.17031352596367
429,作品,さくひん,5.1662705856277045
431,重要,じゅうよう,5.164843115148066
433,出来,でき,5.158940350079394
434,高い,たかい,5.151150575828457
435,最初,さいしょ,5.14842427697342
449,事件,じけん,5.115715770546763
450,英語,えいご,5.114574800598636
452,質問,しつもん,5.112228723184838
460,主義,しゅぎ,5.085247900805301
468,入れ,いれ,5.07617331556691
470,始め,はじめ,5.068589687356812
475,場所,ばしょ,5.064112867874402
476,機能,きのう,5.063923264460972
478,お願い,おねがい,5.058027656398856
479,労働,ろうどう,5.057264394690259
484,相手,あいて,5.054014017398201
485,国際,こくさい,5.049407188596794
486,自身,じしん,5.049343055199305
489,計画,けいかく,5.041617031704984
491,政治,せいじ,5.0390283685974735
503,今後,こんご,5.011767985692189
507,文化,ぶんか,5.001123533723661
511,大変,たいへん,4.985180724623787
514,評価,ひょうか,4.977354239527593
516,対応,たいおう,4.972656476138474
522,自由,じゆう,4.962844630259907
530,歴史,れきし,4.942070902227372
531,全体,ぜんたい,4.941928096086465
532,気持ち,きもち,4.940284357999733
533,報告,ほうこく,4.938781190328272
534,程度,ていど,4.936414495065001
541,予定,よてい,4.928991305055746
542,代表,だいひょう,4.927036270219942
545,経験,けいけん,4.9247142315886165
549,以外,いがい,4.918666193332852
553,価格,かかく,4.916471124038506
554,投資,とうし,4.913757219119769
555,経営,けいえい,4.911919321157098
557,見え,みえ,4.906163272499545
561,商品,しょうひん,4.8993312245375815
563,発表,はっぴょう,4.896420883316898
564,目的,もくてき,4.893427093190715
565,影響,えいきょう,4.890123538868615
569,一緒,いっしょ,4.883332085055713
572,選手,せんしゅ,4.878398301469722
573,無い,ない,4.8721392168423305
577,子ども,こども,4.867995882441006
578,実は,じつは,4.866841903007641
579,確か,たしか,4.865917759699667
580,違い,ちがい,4.86514698734765
582,確認,かくにん,4.861980594772786
584,下さい,ください,4.857872539543846
586,例えば,たとえば,4.857406411505574
591,提供,ていきょう,4.853435526076081
594,事実,じじつ,4.850623024222136
596,簡単,かんたん,4.847567194224188
600,当然,とうぜん,4.844187086458591
602,責任,せきにん,4.8433205694088235
607,議論,ぎろん,4.838105639764771
610,以前,いぜん,4.835408509778168
614,判断,はんだん,4.825830657008495
617,専門,せんもん,4.823502180305079
618,家族,かぞく,4.822697998516666
620,向け,むけ,4.821087692210561
621,悪い,わるい,4.821007108786528
623,初めて,はじめて,4.81794011687474
624,勉強,べんきょう,4.816645932434619
626,期待,きたい,4.811940423184356
628,全く,まったく,4.807294370078226
629,教え,おしえ,4.806231714156099
633,効果,こうか,4.8037751128551465
634,検討,けんとう,4.802298250099019
637,普通,ふつう,4.798514106063782
639,政策,せいさく,4.7962862904635415
642,行動,こうどう,4.792479284293085
644,年間,ねんかん,4.7846543879618855
647,当時,とうじ,4.78105440081804
648,学生,がくせい,4.77912349311153
650,持つ,もつ,4.772885590392684
655,購入,こうにゅう,4.761831996001468
656,科学,かがく,4.76080547751954
657,及び,および,4.760634288612163
658,監督,かんとく,4.75711844226015
659,意識,いしき,4.756774770119986
667,表現,ひょうげん,4.7352330702862595
668,戦争,せんそう,4.73444252169223
669,参考,さんこう,4.733387483788845
672,決定,けってい,4.727210811897116
680,法律,ほうりつ,4.720550337028165
682,機関,きかん,4.718141664647253
684,大きく,おおきく,4.7098904967584945
687,行う,おこなう,4.705286977322864
690,対象,たいしょう,4.700753055881822
692,現実,げんじつ,4.697567035254059
693,読む,よむ,4.696654876110269
694,対策,たいさく,4.696015869287668
695,作業,さぎょう,4.692356547667007
696,価値,かち,4.688775769842889
698,十分,じゅうぶん,4.6872108963243
699,一部,いちぶ,4.686473637052126
702,新聞,しんぶん,4.6828716936519434
709,全て,すべて,4.6701148746284735
713,国家,こっか,4.665512414994253
715,毎日,まいにち,4.662117466429842
717,試合,しあい,4.661550519424199
721,会議,かいぎ,4.655958352820196
722,使う,つかう,4.654721964817339
724,指摘,してき,4.654150808209713
725,書く,かく,4.652912181973512
727,製品,せいひん,4.651290121601645
729,結局,けっきょく,4.649091373046019
730,消費,しょうひ,4.6488042230081525
731,保険,ほけん,4.647271362006727
733,具体,ぐたい,4.643236386794547
734,人生,じんせい,4.6418877689232545
736,米国,べいこく,4.638701669196884
737,表示,ひょうじ,4.636668853047462
739,精神,せいしん,4.633174382397689
741,過去,かこ,4.6313251434649425
743,我々,われわれ,4.630057901495871
745,近く,ちかく,4.625658852415407
748,指導,しどう,4.62173227428707
750,更新,こうしん,4.617296365785932
753,公開,こうかい,4.614328123772857
755,皆さん,みなさん,4.611450423945242
761,担当,たんとう,4.598850257243272
765,旅行,りょこう,4.596028528070808
768,明らか,あきらか,4.593097604753822
772,大切,おおぎり,4.580672554387691
774,求め,もとめ,4.57974980864118
775,行政,ぎょうせい,4.579031528378397
778,お金,おかね,4.574401652316455
779,資料,しりょう,4.571716809728872
780,部屋,へや,4.570268133978827
781,行為,こうい,4.5685062016165
782,平成,へいせい,4.567572155572773
786,登録,とうろく,4.561636183964363
788,設定,せってい,4.5591262474866845
790,成功,せいこう,4.555874894263214
792,努力,どりょく,4.5541926312232235
794,生まれ,うまれ,4.5531397778937075
795,与え,あたえ,4.552191261197205
796,団体,だんたい,4.550714000192032
798,支援,しえん,4.54944603721573
800,自己,じこ,4.548494008794535
802,年度,ねんど,4.548070593947519
803,運動,うんどう,4.547964712217312
804,構造,こうぞう,4.546163005408059
805,特別,とくべつ,4.546056921495585
807,解決,かいけつ,4.543294782270004
809,完全,かんぜん,4.5409516136614405
810,欲しい,ほしい,4.540418308758395
817,男性,だんせい,4.533996366533566
818,結構,けっこう,4.533674184283021
819,出る,でる,4.533244446416503
820,産業,さんぎょう,4.533244446416503
823,流れ,ながれ,4.529476341618891
824,出来る,できる,4.527316746783227
825,に関して,にかんして,4.525369115784536
827,お話,おはなし,4.524285457247627
828,過ぎ,すぎ,4.52406858455105
830,最終,さいしゅう,4.521353699894981
833,保護,ほご,4.514479320703588
840,開催,かいさい,4.509319860331257
841,方向,ほうこう,4.5090997172373575
842,改革,かいかく,4.508989627514122
843,検索,けんさく,4.508659285607248
848,健康,けんこう,4.499253960396542
849,障害,しょうがい,4.4985867005853075
850,ヶ月,かげつ,4.498252903642014
851,認め,みとめ,4.497584975308154
852,協力,きょうりょく,4.49345619635809
853,時期,じき,4.492785055393301
854,料理,りょうり,4.492337377713747
855,考え方,かんがえかた,4.489534842389167
856,楽しみ,たのしみ,4.489310299893557
857,医療,いりょう,4.489198009735671
858,金融,きんゆう,4.48796198508255
859,試験,しけん,4.487287145331375
863,契約,けいやく,4.482776537774025
865,良く,よく,4.478699521934143
866,条件,じょうけん,4.47597224751641
867,放送,ほうそう,4.47551697776122
869,全国,ぜんこく,4.473237514727265
874,作成,さくせい,4.467056883858457
